time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
0.7437901496887207,-56.11388790545766,22.587121678447325,-11.198312783944168,-105.51178789300454,4.350644397022615,0.5,0.004990100860595703,0.09145998954772949,0.28064412,0.11140306,-56.11388790545766,2500,0.0031380653381347656,1.0,0.07001932437941145
0.7387280464172363,-41.568644867510926,11.60470227120324,-19.74578873235864,-80.29755134973776,3.16322096191676,0.5,0.004385948181152344,0.09211587905883789,0.3189639,0.13001049,-54.65936360166298,2500,0.0028028488159179688,0.13469517915925452,0.05593958475137478
0.7598841190338135,-34.35630757347658,7.88602793081787,-17.73396287280717,-57.38123235596299,3.4437470488303936,0.5,0.004613161087036133,0.09208393096923828,0.27327064,0.12378279,-52.629057998844345,2500,0.0026259422302246094,0.08093971670022236,0.044581095377447796
0.7172300815582275,-27.757207254563973,7.560449220514073,-14.333661795506346,-45.46245669676637,2.8005664130878833,0.5,0.004884004592895508,0.08957099914550781,0.32302254,0.13387448,-50.141872924416305,2500,0.003209829330444336,0.11754077611416613,0.048368008125441404
0.714836835861206,-19.572913099919564,7.744719238886779,-4.891565351322733,-40.66648155735373,2.686591389831414,0.5,0.004357099533081055,0.09035396575927734,0.2661538,0.15918483,-47.08497694196664,2500,0.0026082992553710938,0.19485173683882434,0.05283377739560351
0.7113189697265625,-16.336571106705602,6.570915127332528,-5.371966569340199,-38.50036560987552,3.3938472539165043,0.5,0.004418134689331055,0.0905301570892334,0.35858235,0.1024516,-44.01013635844053,2500,0.0025739669799804688,0.12968631030146105,0.0340800247868464
0.7114050388336182,-13.675414833767361,5.985999486339154,-2.2815635214269214,-30.372204585062164,2.829891684358835,0.5,0.004513978958129883,0.09414100646972656,0.28273207,0.14590354,-40.976664205973215,2500,0.002579927444458008,0.08340270369250179,0.03855524047426021
0.7084548473358154,-12.226851609519109,6.270888893175155,-2.520224886773042,-33.648537591553236,3.726476574587624,0.5,0.004917144775390625,0.09000802040100098,0.3541656,0.12706262,-38.101682946327806,2500,0.0030961036682128906,0.06792150821325287,0.035159221031547123
0.7190248966217041,-11.222283067652986,5.367497853547575,-2.680000536474294,-25.367658401104,3.7245202725574313,0.5,0.004350900650024414,0.09089517593383789,0.29360995,0.12125409,-35.413742958460325,2500,0.002477884292602539,0.04218001475682789,0.03022822586579963
0.71744704246521,-10.448853445096074,5.684314313909078,-2.153828214830133,-25.576069285040475,2.5570351585225697,0.5,0.0043981075286865234,0.08974504470825195,0.30463257,0.026467325,-32.9172540071239,2500,0.002588033676147461,0.05674347957787601,0.03273354875871542
